Date,Code
2/13/2020 11:33:39 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:29:20 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:29:06 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:20:00 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:19:28 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/13/2020 10:00:42 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 10:00:42 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/13/2020 8:45:42 AM,Alarm 1.13 VSD 234 FAULT
2/13/2020 8:44:57 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 8:44:36 AM,Alarm 3.5 LIFT TOP CLAMP NOT ADVANCED
2/13/2020 8:44:18 AM,Alarm 3.5 LIFT TOP CLAMP NOT ADVANCED
2/13/2020 8:44:04 AM,Alarm 3.5 LIFT TOP CLAMP NOT ADVANCED
2/13/2020 8:43:15 AM,Alarm 3.5 LIFT TOP CLAMP NOT ADVANCED
2/13/2020 8:38:22 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 8:38:03 AM,Alarm 2.11 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 8:20:31 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/13/2020 8:16:58 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 2:56:08 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:49:43 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:36:23 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:35:38 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:35:38 PM,Alarm 5.1 LIFT TOPDRIVER I SCREW NOT FED
2/13/2020 2:26:22 PM,Alarm 4.18 UNLOAD CONY CLAMP NOT ADVANCED
2/13/2020 2:26:05 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:26:05 PM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/13/2020 1:40:50 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 12:51:54 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
